Fecha,Codigo habilitaci¢n,NOMBRE SEDE PRESTADOR,Localidad,Upz,"Numerador
Camas ocupadas covid -19 confirmados y probables","Denominador
(camas asignadas atenci¢n covid-19)",%Ocupaci¢n covid 19
4/30/2020,110011613301,HOSPITAL INFANTIL UNIVERSITARIO DE SAN JOSE,BARRIOS UNIDOS,DOCE DE OCTUBRE,5,8,62.5%
4/30/2020,110013029625,Unidad de Servicios de Salud Fontib¢n,FONTIB?N,FONTIB?N,5,6,83.3%
4/30/2020,110010817103,CL?NICA COLSUBSIDIO CIUDAD ROMA,KENNEDY,KENNEDY CENTRAL,3,15,20.0%
4/30/2020,110012215001,CL?NICA MEDICAL S.A.S. PROINFO,KENNEDY,KENNEDY CENTRAL,0,32,0.0%
4/30/2020,110010644701,FUNDACI?N ABOOD SHAIO,SUBA,LA FLORESTA,4,20,20.0%
4/30/2020,110011864201,HOSPITAL UNIVERSITARIO MAYOR-MEDERI,LOS M?RTIRES,LA SABANA,11,17,64.7%
4/30/2020,110012688701,NATIONAL CLINICS CENTENARIO SAS,LOS M?RTIRES,LA SABANA,9,20,45.0%
4/30/2020,110010867901,SOCIEDAD DE CIRUG?A DE BOGOT? - HOSPITAL DE SAN JOSê,LOS M?RTIRES,LA SABANA,4,9,44.4%
4/30/2020,110013029101,UNIDAD DE SERVICIOS DE SALUD SIM?N BOL?VAR,USAQUêN,LA URIBE,6,47,12.8%
4/30/2020,110010817160,COLSUBSIDIO CL?NICA 94,BARRIOS UNIDOS,LOS ANDES,0,0,Sin Asignaci¢n
4/30/2020,110012084003,MIOCARDIO S.A.S CASTELLANA,BARRIOS UNIDOS,LOS ANDES,0,0,Sin Asignaci¢n
4/30/2020,110013028902,UNIDAD DE SERVICIOS DE SALUD SAN BLAS,SAN CRIST?BAL,LOS LIBERTADORES,1,6,16.7%
4/30/2020,110011693801,HOSPITAL MILITAR CENTRAL,CHAPINERO,PARDO RUBIO,5,28,17.9%
4/30/2020,110012311801,HOSPITAL CENTRAL POLIC?A NACIONAL,TEUSAQUILLO,PARQUE SIM?N BOL?VAR,2,4,50.0%
4/30/2020,110012760501,HOSPITAL UNIVERSITARIO NACIONAL DE COLOMBIA,TEUSAQUILLO,PARQUE SIM?N BOL?VAR,1,32,3.1%
4/30/2020,110013028901,UNIDAD DE SERVICIOS DE SALUD SANTA CLARA,ANTONIO NARI•O,RESTREPO,9,38,23.7%
4/30/2020,110010413101,FUNDACI?N HOSPITAL SAN CARLOS,RAFAEL URIBE URIBE,SAN JOSê,20,20,100.0%
4/30/2020,110013187101,CL?NICA SANTA TERESITA DE NORMAND?A,ENGATIV?,SANTA CECILIA,0,0,Sin Asignaci¢n
4/30/2020,110010566801,HOSPITAL UNIVERSITARIO CL?NICA SAN RAFAEL,SAN CRIST?BAL,SOSIEGO,8,20,40.0%
4/30/2020,110010895201,CL?NICA PALERMO,TEUSAQUILLO,TEUSAQUILLO,3,16,18.8%
4/30/2020,110013029601,Unidad de Servicios de Salud Occidente de Kennedy,KENNEDY,TIMIZA,7,9,77.8%
4/30/2020,110010911101,FUNDACI?N CARDIO INFANTIL INSTITUTO DE CARDIOLOG?A,USAQUêN,TOBER?N,16,26,61.5%
4/30/2020,110010910401,CL?NICA JUAN N CORPAS LTDA,SUBA,UPZ ZONA NORTE,1,15,6.7%
4/30/2020,110010561801,FUNDACI?N SANTA FE DE BOGOT?,USAQUêN,USAQUêN,1,16,6.3%
4/30/2020,110013390301,LOSCOBOS MEDICAL CENTER SAS - LOSCOBOS,USAQUêN,USAQUêN,0,12,0.0%
4/30/2020,110013029401,UNIDAD DE SERVICIOS DE SALUD EL TUNAL,TUNJUELITO,VENECIA,11,26,42.3%
5/1/2020,110010966601,CL?NICA DEL OCCIDENTE S.A.,KENNEDY,AMêRICAS,7,10,70.0%
5/1/2020,110010918668,CL?NICA INFANTIL SANTA MAR?A DEL LAGO,ENGATIV?,BOYAC? REAL,4,9,44.4%
5/1/2020,110012507001,ADMINISTRADORA CL?NICA LA COLINA SAS,SUBA,CASA BLANCA SUBA,3,9,33.3%
5/1/2020,110010945601,HOSPITAL UNIVERSITARIO SAN IGNACIO,CHAPINERO,CHAPINERO,5,8,62.5%
5/1/2020,110010817151,CL?NICA COLSUBSIDIO CALLE 100,CHAPINERO,CHIC? LAGO,5,11,45.5%
5/1/2020,110010959901,CL?NICA DEL COUNTRY IPS,CHAPINERO,CHIC? LAGO,7,19,36.8%
5/1/2020,110012529701,CL?NICA LOS NOGALES SAS,CHAPINERO,CHIC? LAGO,4,6,66.7%
5/1/2020,110013502501,CL?NICA NUEVA EL LAGO S.A.S - SEDE CALLE 76,CHAPINERO,CHIC? LAGO,4,6,66.7%
5/1/2020,110010918630,CL?NICA UNIVERSITARIA COLOMBIA,TEUSAQUILLO,CIUDAD SALITRE ORIENTAL,5,23,21.7%
5/1/2020,110011613301,HOSPITAL INFANTIL UNIVERSITARIO DE SAN JOSE,BARRIOS UNIDOS,DOCE DE OCTUBRE,4,8,50.0%
5/1/2020,110013029625,Unidad de Servicios de Salud Fontib¢n,FONTIB?N,FONTIB?N,3,6,50.0%
5/1/2020,110010817103,CL?NICA COLSUBSIDIO CIUDAD ROMA,KENNEDY,KENNEDY CENTRAL,3,15,20.0%
5/1/2020,110012215001,CL?NICA MEDICAL S.A.S. PROINFO,KENNEDY,KENNEDY CENTRAL,0,32,0.0%
5/1/2020,110010644701,FUNDACI?N ABOOD SHAIO,SUBA,LA FLORESTA,3,20,15.0%
5/1/2020,110011864201,HOSPITAL UNIVERSITARIO MAYOR-MEDERI,LOS M?RTIRES,LA SABANA,11,17,64.7%
5/1/2020,110012688701,NATIONAL CLINICS CENTENARIO SAS,LOS M?RTIRES,LA SABANA,8,20,40.0%
5/1/2020,110010867901,SOCIEDAD DE CIRUG?A DE BOGOT? - HOSPITAL DE SAN JOSê,LOS M?RTIRES,LA SABANA,4,9,44.4%
5/1/2020,110013029101,UNIDAD DE SERVICIOS DE SALUD SIM?N BOL?VAR,USAQUêN,LA URIBE,5,47,10.6%
5/1/2020,110010817160,COLSUBSIDIO CL?NICA 94,BARRIOS UNIDOS,LOS ANDES,0,0,Sin Asignaci¢n
5/1/2020,110012084003,MIOCARDIO S.A.S CASTELLANA,BARRIOS UNIDOS,LOS ANDES,0,0,Sin Asignaci¢n
5/1/2020,110013028902,UNIDAD DE SERVICIOS DE SALUD SAN BLAS,SAN CRIST?BAL,LOS LIBERTADORES,1,6,16.7%
5/1/2020,110011693801,HOSPITAL MILITAR CENTRAL,CHAPINERO,PARDO RUBIO,5,28,17.9%
5/1/2020,110012311801,HOSPITAL CENTRAL POLIC?A NACIONAL,TEUSAQUILLO,PARQUE SIM?N BOL?VAR,1,4,25.0%
5/1/2020,110012760501,HOSPITAL UNIVERSITARIO NACIONAL DE COLOMBIA,TEUSAQUILLO,PARQUE SIM?N BOL?VAR,5,32,15.6%
5/1/2020,110013028901,UNIDAD DE SERVICIOS DE SALUD SANTA CLARA,ANTONIO NARI•O,RESTREPO,7,38,18.4%
5/1/2020,110010413101,FUNDACI?N HOSPITAL SAN CARLOS,RAFAEL URIBE URIBE,SAN JOSê,17,20,85.0%
5/1/2020,110013187101,CL?NICA SANTA TERESITA DE NORMAND?A,ENGATIV?,SANTA CECILIA,0,0,Sin Asignaci¢n
5/1/2020,110010566801,HOSPITAL UNIVERSITARIO CL?NICA SAN RAFAEL,SAN CRIST?BAL,SOSIEGO,9,20,45.0%
5/1/2020,110010895201,CL?NICA PALERMO,TEUSAQUILLO,TEUSAQUILLO,2,16,12.5%
5/1/2020,110013029601,Unidad de Servicios de Salud Occidente de Kennedy,KENNEDY,TIMIZA,9,9,100.0%
5/1/2020,110010911101,FUNDACI?N CARDIO INFANTIL INSTITUTO DE CARDIOLOG?A,USAQUêN,TOBER?N,17,26,65.4%
5/1/2020,110010910401,CL?NICA JUAN N CORPAS LTDA,SUBA,UPZ ZONA NORTE,1,15,6.7%
5/1/2020,110010561801,FUNDACI?N SANTA FE DE BOGOT?,USAQUêN,USAQUêN,0,16,0.0%
5/1/2020,110013390301,LOSCOBOS MEDICAL CENTER SAS - LOSCOBOS,USAQUêN,USAQUêN,0,12,0.0%
5/1/2020,110013029401,UNIDAD DE SERVICIOS DE SALUD EL TUNAL,TUNJUELITO,VENECIA,13,26,50.0%
5/2/2020,110010966601,CL?NICA DEL OCCIDENTE S.A.,KENNEDY,AMêRICAS,8,10,80.0%
5/2/2020,110010918668,CL?NICA INFANTIL SANTA MAR?A DEL LAGO,ENGATIV?,BOYAC? REAL,3,9,33.3%
5/2/2020,110012507001,ADMINISTRADORA CL?NICA LA COLINA SAS,SUBA,CASA BLANCA SUBA,3,9,33.3%
5/2/2020,110010945601,HOSPITAL UNIVERSITARIO SAN IGNACIO,CHAPINERO,CHAPINERO,5,8,62.5%
5/2/2020,110010817151,CL?NICA COLSUBSIDIO CALLE 100,CHAPINERO,CHIC? LAGO,4,11,36.4%
5/2/2020,110010959901,CL?NICA DEL COUNTRY IPS,CHAPINERO,CHIC? LAGO,7,19,36.8%
5/2/2020,110012529701,CL?NICA LOS NOGALES SAS,CHAPINERO,CHIC? LAGO,5,6,83.3%
5/2/2020,110013502501,CL?NICA NUEVA EL LAGO S.A.S - SEDE CALLE 76,CHAPINERO,CHIC? LAGO,4,6,66.7%
5/2/2020,110010918630,CL?NICA UNIVERSITARIA COLOMBIA,TEUSAQUILLO,CIUDAD SALITRE ORIENTAL,6,23,26.1%
5/2/2020,110011613301,HOSPITAL INFANTIL UNIVERSITARIO DE SAN JOSE,BARRIOS UNIDOS,DOCE DE OCTUBRE,4,8,50.0%
5/2/2020,110013029625,Unidad de Servicios de Salud Fontib¢n,FONTIB?N,FONTIB?N,5,6,83.3%
5/2/2020,110010817103,CL?NICA COLSUBSIDIO CIUDAD ROMA,KENNEDY,KENNEDY CENTRAL,3,15,20.0%
5/2/2020,110012215001,CL?NICA MEDICAL S.A.S. PROINFO,KENNEDY,KENNEDY CENTRAL,0,32,0.0%
5/2/2020,110010644701,FUNDACI?N ABOOD SHAIO,SUBA,LA FLORESTA,3,20,15.0%
5/2/2020,110011864201,HOSPITAL UNIVERSITARIO MAYOR-MEDERI,LOS M?RTIRES,LA SABANA,8,17,47.1%
5/2/2020,110012688701,NATIONAL CLINICS CENTENARIO SAS,LOS M?RTIRES,LA SABANA,8,20,40.0%
5/2/2020,110010867901,SOCIEDAD DE CIRUG?A DE BOGOT? - HOSPITAL DE SAN JOSê,LOS M?RTIRES,LA SABANA,5,9,55.6%
5/2/2020,110013029101,UNIDAD DE SERVICIOS DE SALUD SIM?N BOL?VAR,USAQUêN,LA URIBE,7,47,14.9%
5/2/2020,110010817160,COLSUBSIDIO CL?NICA 94,BARRIOS UNIDOS,LOS ANDES,0,0,Sin Asignaci¢n
5/2/2020,110012084003,MIOCARDIO S.A.S CASTELLANA,BARRIOS UNIDOS,LOS ANDES,0,0,Sin Asignaci¢n
5/2/2020,110013028902,UNIDAD DE SERVICIOS DE SALUD SAN BLAS,SAN CRIST?BAL,LOS LIBERTADORES,0,6,0.0%
5/2/2020,110011693801,HOSPITAL MILITAR CENTRAL,CHAPINERO,PARDO RUBIO,5,28,17.9%
5/2/2020,110012311801,HOSPITAL CENTRAL POLIC?A NACIONAL,TEUSAQUILLO,PARQUE SIM?N BOL?VAR,1,4,25.0%
5/2/2020,110012760501,HOSPITAL UNIVERSITARIO NACIONAL DE COLOMBIA,TEUSAQUILLO,PARQUE SIM?N BOL?VAR,2,32,6.3%
5/2/2020,110013028901,UNIDAD DE SERVICIOS DE SALUD SANTA CLARA,ANTONIO NARI•O,RESTREPO,9,38,23.7%
5/2/2020,110010413101,FUNDACI?N HOSPITAL SAN CARLOS,RAFAEL URIBE URIBE,SAN JOSê,20,20,100.0%
5/2/2020,110013187101,CL?NICA SANTA TERESITA DE NORMAND?A,ENGATIV?,SANTA CECILIA,0,0,Sin Asignaci¢n
5/2/2020,110010566801,HOSPITAL UNIVERSITARIO CL?NICA SAN RAFAEL,SAN CRIST?BAL,SOSIEGO,10,20,50.0%
5/2/2020,110010895201,CL?NICA PALERMO,TEUSAQUILLO,TEUSAQUILLO,3,16,18.8%
5/2/2020,110013029601,Unidad de Servicios de Salud Occidente de Kennedy,KENNEDY,TIMIZA,9,9,100.0%
5/2/2020,110010911101,FUNDACI?N CARDIO INFANTIL INSTITUTO DE CARDIOLOG?A,USAQUêN,TOBER?N,19,26,73.1%
5/2/2020,110010910401,CL?NICA JUAN N CORPAS LTDA,SUBA,UPZ ZONA NORTE,2,15,13.3%
5/2/2020,110010561801,FUNDACI?N SANTA FE DE BOGOT?,USAQUêN,USAQUêN,0,16,0.0%
5/2/2020,110013390301,LOSCOBOS MEDICAL CENTER SAS - LOSCOBOS,USAQUêN,USAQUêN,0,12,0.0%
5/2/2020,110013029401,UNIDAD DE SERVICIOS DE SALUD EL TUNAL,TUNJUELITO,VENECIA,15,26,57.7%
5/3/2020,110010966601,CL?NICA DEL OCCIDENTE S.A.,KENNEDY,AMêRICAS,8,10,80.0%
5/3/2020,110010918668,CL?NICA INFANTIL SANTA MAR?A DEL LAGO,ENGATIV?,BOYAC? REAL,4,9,44.4%
5/3/2020,110012507001,ADMINISTRADORA CL?NICA LA COLINA SAS,SUBA,CASA BLANCA SUBA,2,9,22.2%
5/3/2020,110010945601,HOSPITAL UNIVERSITARIO SAN IGNACIO,CHAPINERO,CHAPINERO,5,8,62.5%
5/3/2020,110010817151,CL?NICA COLSUBSIDIO CALLE 100,CHAPINERO,CHIC? LAGO,3,11,27.3%
5/3/2020,110010959901,CL?NICA DEL COUNTRY IPS,CHAPINERO,CHIC? LAGO,6,19,31.6%
5/3/2020,110012529701,CL?NICA LOS NOGALES SAS,CHAPINERO,CHIC? LAGO,8,10,80.0%
5/3/2020,110013502501,CL?NICA NUEVA EL LAGO S.A.S - SEDE CALLE 76,CHAPINERO,CHIC? LAGO,4,6,66.7%
5/3/2020,110010918630,CL?NICA UNIVERSITARIA COLOMBIA,TEUSAQUILLO,CIUDAD SALITRE ORIENTAL,8,23,34.8%
5/3/2020,110011613301,HOSPITAL INFANTIL UNIVERSITARIO DE SAN JOSE,BARRIOS UNIDOS,DOCE DE OCTUBRE,4,8,50.0%
5/3/2020,110013029625,Unidad de Servicios de Salud Fontib¢n,FONTIB?N,FONTIB?N,5,6,83.3%
5/3/2020,110010817103,CL?NICA COLSUBSIDIO CIUDAD ROMA,KENNEDY,KENNEDY CENTRAL,4,15,26.7%
5/3/2020,110012215001,CL?NICA MEDICAL S.A.S. PROINFO,KENNEDY,KENNEDY CENTRAL,0,32,0.0%
5/3/2020,110010644701,FUNDACI?N ABOOD SHAIO,SUBA,LA FLORESTA,5,20,25.0%
5/3/2020,110011864201,HOSPITAL UNIVERSITARIO MAYOR-MEDERI,LOS M?RTIRES,LA SABANA,6,17,35.3%
5/3/2020,110012688701,NATIONAL CLINICS CENTENARIO SAS,LOS M?RTIRES,LA SABANA,10,20,50.0%
5/3/2020,110010867901,SOCIEDAD DE CIRUG?A DE BOGOT? - HOSPITAL DE SAN JOSê,LOS M?RTIRES,LA SABANA,5,9,55.6%
5/3/2020,110013029101,UNIDAD DE SERVICIOS DE SALUD SIM?N BOL?VAR,USAQUêN,LA URIBE,9,47,19.1%
5/3/2020,110010817160,COLSUBSIDIO CL?NICA 94,BARRIOS UNIDOS,LOS ANDES,0,0,Sin Asignaci¢n
5/3/2020,110012084003,MIOCARDIO S.A.S CASTELLANA,BARRIOS UNIDOS,LOS ANDES,0,0,Sin Asignaci¢n
5/3/2020,110013028902,UNIDAD DE SERVICIOS DE SALUD SAN BLAS,SAN CRIST?BAL,LOS LIBERTADORES,1,6,16.7%
5/3/2020,110011693801,HOSPITAL MILITAR CENTRAL,CHAPINERO,PARDO RUBIO,4,28,14.3%
5/3/2020,110012311801,HOSPITAL CENTRAL POLIC?A NACIONAL,TEUSAQUILLO,PARQUE SIM?N BOL?VAR,1,4,25.0%
5/3/2020,110012760501,HOSPITAL UNIVERSITARIO NACIONAL DE COLOMBIA,TEUSAQUILLO,PARQUE SIM?N BOL?VAR,1,32,3.1%
5/3/2020,110013028901,UNIDAD DE SERVICIOS DE SALUD SANTA CLARA,ANTONIO NARI•O,RESTREPO,6,38,15.8%
5/3/2020,110010413101,FUNDACI?N HOSPITAL SAN CARLOS,RAFAEL URIBE URIBE,SAN JOSê,20,20,100.0%
5/3/2020,110013187101,CL?NICA SANTA TERESITA DE NORMAND?A,ENGATIV?,SANTA CECILIA,0,0,Sin Asignaci¢n
5/3/2020,110010566801,HOSPITAL UNIVERSITARIO CL?NICA SAN RAFAEL,SAN CRIST?BAL,SOSIEGO,11,20,55.0%
5/3/2020,110010895201,CL?NICA PALERMO,TEUSAQUILLO,TEUSAQUILLO,1,16,6.3%
5/3/2020,110013029601,Unidad de Servicios de Salud Occidente de Kennedy,KENNEDY,TIMIZA,8,9,88.9%
5/3/2020,110010911101,FUNDACI?N CARDIO INFANTIL INSTITUTO DE CARDIOLOG?A,USAQUêN,TOBER?N,10,26,38.5%
5/3/2020,110010910401,CL?NICA JUAN N CORPAS LTDA,SUBA,UPZ ZONA NORTE,1,15,6.7%
5/3/2020,110010561801,FUNDACI?N SANTA FE DE BOGOT?,USAQUêN,USAQUêN,0,16,0.0%
5/3/2020,110013390301,LOSCOBOS MEDICAL CENTER SAS - LOSCOBOS,USAQUêN,USAQUêN,0,12,0.0%
5/3/2020,110013029401,UNIDAD DE SERVICIOS DE SALUD EL TUNAL,TUNJUELITO,VENECIA,15,26,57.7%
5/4/2020,110010966601,CL?NICA DEL OCCIDENTE S.A.,KENNEDY,AMêRICAS,7,10,70.0%
5/4/2020,110010918668,CL?NICA INFANTIL SANTA MAR?A DEL LAGO,ENGATIV?,BOYAC? REAL,4,9,44.4%
5/4/2020,110012507001,ADMINISTRADORA CL?NICA LA COLINA SAS,SUBA,CASA BLANCA SUBA,2,9,22.2%
5/4/2020,110010945601,HOSPITAL UNIVERSITARIO SAN IGNACIO,CHAPINERO,CHAPINERO,2,8,25.0%
5/4/2020,110010817151,CL?NICA COLSUBSIDIO CALLE 100,CHAPINERO,CHIC? LAGO,3,11,27.3%
5/4/2020,110010959901,CL?NICA DEL COUNTRY IPS,CHAPINERO,CHIC? LAGO,5,19,26.3%
5/4/2020,110012529701,CL?NICA LOS NOGALES SAS,CHAPINERO,CHIC? LAGO,6,10,60.0%
5/4/2020,110013502501,CL?NICA NUEVA EL LAGO S.A.S - SEDE CALLE 76,CHAPINERO,CHIC? LAGO,6,6,100.0%
5/4/2020,110010918630,CL?NICA UNIVERSITARIA COLOMBIA,TEUSAQUILLO,CIUDAD SALITRE ORIENTAL,5,23,21.7%
5/4/2020,110011613301,HOSPITAL INFANTIL UNIVERSITARIO DE SAN JOSE,BARRIOS UNIDOS,DOCE DE OCTUBRE,3,8,37.5%
5/4/2020,110013029625,Unidad de Servicios de Salud Fontib¢n,FONTIB?N,FONTIB?N,6,6,100.0%
5/4/2020,110010817103,CL?NICA COLSUBSIDIO CIUDAD ROMA,KENNEDY,KENNEDY CENTRAL,8,15,53.3%
5/4/2020,110012215001,CL?NICA MEDICAL S.A.S. PROINFO,KENNEDY,KENNEDY CENTRAL,0,32,0.0%
5/4/2020,110010644701,FUNDACI?N ABOOD SHAIO,SUBA,LA FLORESTA,4,20,20.0%
5/4/2020,110011864201,HOSPITAL UNIVERSITARIO MAYOR-MEDERI,LOS M?RTIRES,LA SABANA,7,17,41.2%
5/4/2020,110012688701,NATIONAL CLINICS CENTENARIO SAS,LOS M?RTIRES,LA SABANA,8,20,40.0%
5/4/2020,110010867901,SOCIEDAD DE CIRUG?A DE BOGOT? - HOSPITAL DE SAN JOSê,LOS M?RTIRES,LA SABANA,3,9,33.3%
5/4/2020,110013029101,UNIDAD DE SERVICIOS DE SALUD SIM?N BOL?VAR,USAQUêN,LA URIBE,11,47,23.4%
5/4/2020,110010817160,COLSUBSIDIO CL?NICA 94,BARRIOS UNIDOS,LOS ANDES,0,0,Sin Asignaci¢n
5/4/2020,110012084003,MIOCARDIO S.A.S CASTELLANA,BARRIOS UNIDOS,LOS ANDES,0,0,Sin Asignaci¢n
5/4/2020,110013028902,UNIDAD DE SERVICIOS DE SALUD SAN BLAS,SAN CRIST?BAL,LOS LIBERTADORES,0,6,0.0%
5/4/2020,110011693801,HOSPITAL MILITAR CENTRAL,CHAPINERO,PARDO RUBIO,5,28,17.9%
5/4/2020,110012311801,HOSPITAL CENTRAL POLIC?A NACIONAL,TEUSAQUILLO,PARQUE SIM?N BOL?VAR,1,4,25.0%
5/4/2020,110012760501,HOSPITAL UNIVERSITARIO NACIONAL DE COLOMBIA,TEUSAQUILLO,PARQUE SIM?N BOL?VAR,1,32,3.1%
5/4/2020,110013028901,UNIDAD DE SERVICIOS DE SALUD SANTA CLARA,ANTONIO NARI•O,RESTREPO,15,38,39.5%
5/4/2020,110010413101,FUNDACI?N HOSPITAL SAN CARLOS,RAFAEL URIBE URIBE,SAN JOSê,20,20,100.0%
5/4/2020,110013187101,CL?NICA SANTA TERESITA DE NORMAND?A,ENGATIV?,SANTA CECILIA,0,0,Sin Asignaci¢n
5/4/2020,110010566801,HOSPITAL UNIVERSITARIO CL?NICA SAN RAFAEL,SAN CRIST?BAL,SOSIEGO,8,20,40.0%
5/4/2020,110010895201,CL?NICA PALERMO,TEUSAQUILLO,TEUSAQUILLO,2,16,12.5%
5/4/2020,110013029601,Unidad de Servicios de Salud Occidente de Kennedy,KENNEDY,TIMIZA,8,9,88.9%
5/4/2020,110010911101,FUNDACI?N CARDIO INFANTIL INSTITUTO DE CARDIOLOG?A,USAQUêN,TOBER?N,11,26,42.3%
5/4/2020,110010910401,CL?NICA JUAN N CORPAS LTDA,SUBA,UPZ ZONA NORTE,2,15,13.3%
5/4/2020,110010561801,FUNDACI?N SANTA FE DE BOGOT?,USAQUêN,USAQUêN,1,16,6.3%
5/4/2020,110013390301,LOSCOBOS MEDICAL CENTER SAS - LOSCOBOS,USAQUêN,USAQUêN,0,12,0.0%
5/4/2020,110013029401,UNIDAD DE SERVICIOS DE SALUD EL TUNAL,TUNJUELITO,VENECIA,15,26,57.7%
5/5/2020,110010966601,CL?NICA DEL OCCIDENTE S.A.,KENNEDY,AMêRICAS,8,10,80.0%
5/5/2020,110010918668,CL?NICA INFANTIL SANTA MAR?A DEL LAGO,ENGATIV?,BOYAC? REAL,4,9,44.4%
5/5/2020,110012507001,ADMINISTRADORA CL?NICA LA COLINA SAS,SUBA,CASA BLANCA SUBA,1,9,11.1%
5/5/2020,110010945601,HOSPITAL UNIVERSITARIO SAN IGNACIO,CHAPINERO,CHAPINERO,2,8,25.0%
5/5/2020,110010817151,CL?NICA COLSUBSIDIO CALLE 100,CHAPINERO,CHIC? LAGO,4,11,36.4%
5/5/2020,110010959901,CL?NICA DEL COUNTRY IPS,CHAPINERO,CHIC? LAGO,4,19,21.1%
5/5/2020,110012529701,CL?NICA LOS NOGALES SAS,CHAPINERO,CHIC? LAGO,1,10,10.0%
5/5/2020,110013502501,CL?NICA NUEVA EL LAGO S.A.S - SEDE CALLE 76,CHAPINERO,CHIC? LAGO,6,6,100.0%
5/5/2020,110010918630,CL?NICA UNIVERSITARIA COLOMBIA,TEUSAQUILLO,CIUDAD SALITRE ORIENTAL,9,23,39.1%
5/5/2020,110011613301,HOSPITAL INFANTIL UNIVERSITARIO DE SAN JOSE,BARRIOS UNIDOS,DOCE DE OCTUBRE,4,8,50.0%
5/5/2020,110013029625,Unidad de Servicios de Salud Fontib¢n,FONTIB?N,FONTIB?N,5,6,83.3%
5/5/2020,110010817103,CL?NICA COLSUBSIDIO CIUDAD ROMA,KENNEDY,KENNEDY CENTRAL,7,15,46.7%
5/5/2020,110012215001,CL?NICA MEDICAL S.A.S. PROINFO,KENNEDY,KENNEDY CENTRAL,0,32,0.0%
5/5/2020,110010644701,FUNDACI?N ABOOD SHAIO,SUBA,LA FLORESTA,4,20,20.0%
5/5/2020,110011864201,HOSPITAL UNIVERSITARIO MAYOR-MEDERI,LOS M?RTIRES,LA SABANA,8,17,47.1%
5/5/2020,110012688701,NATIONAL CLINICS CENTENARIO SAS,LOS M?RTIRES,LA SABANA,10,20,50.0%
5/5/2020,110010867901,SOCIEDAD DE CIRUG?A DE BOGOT? - HOSPITAL DE SAN JOSê,LOS M?RTIRES,LA SABANA,4,9,44.4%
5/5/2020,110013029101,UNIDAD DE SERVICIOS DE SALUD SIM?N BOL?VAR,USAQUêN,LA URIBE,4,47,8.5%
5/5/2020,110010817160,COLSUBSIDIO CL?NICA 94,BARRIOS UNIDOS,LOS ANDES,0,0,Sin Asignaci¢n
5/5/2020,110012084003,MIOCARDIO S.A.S CASTELLANA,BARRIOS UNIDOS,LOS ANDES,0,0,Sin Asignaci¢n
5/5/2020,110013028902,UNIDAD DE SERVICIOS DE SALUD SAN BLAS,SAN CRIST?BAL,LOS LIBERTADORES,2,6,33.3%
5/5/2020,110011693801,HOSPITAL MILITAR CENTRAL,CHAPINERO,PARDO RUBIO,5,28,17.9%
5/5/2020,110012311801,HOSPITAL CENTRAL POLIC?A NACIONAL,TEUSAQUILLO,PARQUE SIM?N BOL?VAR,0,4,0.0%
5/5/2020,110012760501,HOSPITAL UNIVERSITARIO NACIONAL DE COLOMBIA,TEUSAQUILLO,PARQUE SIM?N BOL?VAR,1,32,3.1%
5/5/2020,110013028901,UNIDAD DE SERVICIOS DE SALUD SANTA CLARA,ANTONIO NARI•O,RESTREPO,13,38,34.2%
5/5/2020,110010413101,FUNDACI?N HOSPITAL SAN CARLOS,RAFAEL URIBE URIBE,SAN JOSê,23,32,71.9%
5/5/2020,110013187101,CL?NICA SANTA TERESITA DE NORMAND?A,ENGATIV?,SANTA CECILIA,0,0,Sin Asignaci¢n
5/5/2020,110010566801,HOSPITAL UNIVERSITARIO CL?NICA SAN RAFAEL,SAN CRIST?BAL,SOSIEGO,8,20,40.0%
5/5/2020,110010895201,CL?NICA PALERMO,TEUSAQUILLO,TEUSAQUILLO,1,16,6.3%
5/5/2020,110013029601,Unidad de Servicios de Salud Occidente de Kennedy,KENNEDY,TIMIZA,9,9,100.0%
5/5/2020,110010911101,FUNDACI?N CARDIO INFANTIL INSTITUTO DE CARDIOLOG?A,USAQUêN,TOBER?N,10,26,38.5%
5/5/2020,110010910401,CL?NICA JUAN N CORPAS LTDA,SUBA,UPZ ZONA NORTE,1,15,6.7%
5/5/2020,110010561801,FUNDACI?N SANTA FE DE BOGOT?,USAQUêN,USAQUêN,1,16,6.3%
5/5/2020,110013390301,LOSCOBOS MEDICAL CENTER SAS - LOSCOBOS,USAQUêN,USAQUêN,0,12,0.0%
5/5/2020,110013029401,UNIDAD DE SERVICIOS DE SALUD EL TUNAL,TUNJUELITO,VENECIA,16,26,61.5%
5/6/2020,110010966601,CL?NICA DEL OCCIDENTE S.A.,KENNEDY,AMêRICAS,15,20,75.0%
5/6/2020,110010918668,CL?NICA INFANTIL SANTA MAR?A DEL LAGO,ENGATIV?,BOYAC? REAL,4,9,44.4%
5/6/2020,110012507001,ADMINISTRADORA CL?NICA LA COLINA SAS,SUBA,CASA BLANCA SUBA,0,9,0.0%
5/6/2020,110010945601,HOSPITAL UNIVERSITARIO SAN IGNACIO,CHAPINERO,CHAPINERO,4,8,50.0%
5/6/2020,110010817151,CL?NICA COLSUBSIDIO CALLE 100,CHAPINERO,CHIC? LAGO,3,11,27.3%
5/6/2020,110010959901,CL?NICA DEL COUNTRY IPS,CHAPINERO,CHIC? LAGO,5,19,26.3%
5/6/2020,110012529701,CL?NICA LOS NOGALES SAS,CHAPINERO,CHIC? LAGO,4,10,40.0%
